Marca,Modelo,Año,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Precio,Tipo de vendedor,Edad,Km promedio por año,Cilindros,Turbo
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,23000,23684.21,tienda,2.0,11500.0,1,0
Peugeot,2008,2021.0,marrón,Nafta,Manual,1.6,17000,23157.89,tienda,3.0,5666.0,1,0
Peugeot,2008,2021.0,marrón,Nafta,Manual,1.6,17500,21578.95,tienda,3.0,5833.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,123600,15789.47,tienda,6.0,20600.0,1,0
Peugeot,2008,2016.0,gris,Nafta,Manual,1.6,43000,13157.89,tienda,8.0,5375.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,14000,23894.74,concesionaria,2.0,7000.0,1,0
Peugeot,2008,2022.0,plata,Nafta,Manual,1.6,50208,22105.26,tienda,2.0,25104.0,1,0
Peugeot,2008,2021.0,rojo,Nafta,Manual,1.6,44000,18950.0,concesionaria,3.0,14666.0,1,0
Peugeot,2008,2018.0,marrón,Nafta,Manual,1.6,84000,15252.53,concesionaria,6.0,14000.0,1,0
Peugeot,2008,2022.0,gris,Nafta,Manual,1.6,50208,22105.26,tienda,2.0,25104.0,1,0
Peugeot,2008,2021.0,blanco,Nafta,Automática,1.6,34300,21894.74,tienda,3.0,11433.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,42000,20947.37,tienda,2.0,21000.0,1,0
Peugeot,2008,2021.0,blanco,Nafta,Manual,1.6,23000,21578.95,concesionaria,3.0,7666.0,1,0
Peugeot,2008,2019.0,blanco,Nafta,Manual,1.6,132000,14631.58,tienda,5.0,26400.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Manual,1.6,35224,15789.47,concesionaria,7.0,5032.0,1,0
Peugeot,2008,2021.0,blanco,Nafta,Automática,1.6,39000,20515.79,concesionaria,3.0,13000.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Manual,1.6,57000,16631.58,particular,7.0,8142.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,100000,13400.0,particular,7.0,14285.0,1,0
Peugeot,2008,2018.0,plata,Nafta,Manual,1.6,34000,15900.0,concesionaria,6.0,5666.0,1,0
Peugeot,2008,2021.0,plata,Nafta,Automática,1.6,54300,18800.0,concesionaria,3.0,18100.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Automática,1.6,114653,13157.89,concesionaria,7.0,16379.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,164000,12500.0,particular,7.0,23428.0,1,0
Peugeot,2008,2024.0,negro,Nafta,Automática,1.6,0,17894.74,particular,0.0,11111.0,1,0
Peugeot,2008,2018.0,gris,Nafta,Manual,1.6,113000,15157.89,tienda,6.0,18833.0,1,0
Peugeot,2008,2018.0,gris,Nafta,Manual,1.6,119000,13684.21,concesionaria,6.0,19833.0,1,0
Peugeot,2008,2022.0,negro,Nafta,Manual,1.6,14000,23000.0,tienda,2.0,7000.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,81000,16831.58,concesionaria,6.0,13500.0,1,0
Peugeot,2008,2016.0,gris,Nafta,Manual,1.6,114000,12631.58,concesionaria,8.0,14250.0,1,0
Peugeot,2008,2019.0,marrón,Nafta,Manual,1.6,40000,18421.05,concesionaria,5.0,8000.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,30560,17157.89,tienda,6.0,5093.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,60000,20000.0,tienda,2.0,30000.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Manual,1.6,44000,22500.0,particular,2.0,22000.0,1,0
