Marca,Modelo,Año,Versión,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Precio,Moneda,Tipo de vendedor,Cilindros,Turbo
Peugeot,2008,2022.0,1.6 Feline Tip am20,blanco,Nafta,Automática,1.6,23000,21531.1,U$S,tienda,1,0
Peugeot,2008,2021.0,1.6 Allure,marrón,Nafta,Manual,1.6,17000,21052.63,U$S,tienda,1,0
Peugeot,2008,2021.0,1.6 Allure,marrón,Nafta,Manual,1.6,17500,19617.22,U$S,tienda,1,0
Peugeot,2008,2018.0,1.6 Feline,blanco,Nafta,Manual,1.6,123600,14354.07,U$S,tienda,1,0
Peugeot,2008,2016.0,1.6 Thp Sport,gris,Nafta,Manual,1.6,43000,11961.72,U$S,tienda,1,0
Peugeot,2008,2022.0,1.6 Feline Tip am20,blanco,Nafta,Automática,1.6,14000,21722.49,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Feline,plata,Nafta,Manual,1.6,50208,20095.69,U$S,tienda,1,0
Peugeot,2008,2021.0,1.6 Feline,rojo,Nafta,Manual,1.6,44000,18950.0,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Thp Sport,marrón,Nafta,Manual,1.6,84000,13865.93,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Feline,gris,Nafta,Manual,1.6,50208,20095.69,U$S,tienda,1,0
Peugeot,2008,2021.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,34300,19904.31,U$S,tienda,1,0
Peugeot,2008,2022.0,1.6 Feline Tip,blanco,Nafta,Automática,1.6,42000,19043.06,U$S,tienda,1,0
Peugeot,2008,2021.0,1.6 Allure am20,blanco,Nafta,Manual,1.6,23000,19617.22,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Allure,blanco,Nafta,Manual,1.6,132000,13301.44,U$S,tienda,1,0
Peugeot,2008,2017.0,1.6 Allure,gris,Nafta,Manual,1.6,35224,14354.07,U$S,concesionaria,1,0
Peugeot,2008,2021.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,39000,18650.72,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Feline,gris,Nafta,Manual,1.6,57000,15119.62,U$S,particular,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,100000,13400.0,U$S,particular,1,0
Peugeot,2008,2021.0,1.6 Thp Sport Tip,plata,Nafta,Automática,1.6,54300,18800.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Allure Tip,blanco,Nafta,Automática,1.6,114653,11961.72,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Feline,blanco,Nafta,Manual,1.6,164000,12500.0,U$S,particular,1,0
Peugeot,2008,2018.0,1.6 Allure,gris,Nafta,Manual,1.6,113000,13779.9,U$S,tienda,1,0
Peugeot,2008,2018.0,1.6 Allure,gris,Nafta,Manual,1.6,119000,12440.19,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Feline,negro,Nafta,Manual,1.6,14000,23000.0,U$S,tienda,1,0
Peugeot,2008,2018.0,1.6 Allure,blanco,Nafta,Manual,1.6,81000,15301.44,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Feline,gris,Nafta,Manual,1.6,114000,11483.25,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Feline,marrón,Nafta,Manual,1.6,40000,16746.41,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,30560,15598.09,U$S,tienda,1,0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,60000,18181.82,U$S,tienda,1,0
Peugeot,2008,2022.0,1.6 Feline am20,blanco,Nafta,Manual,1.6,44000,22500.0,U$S,particular,1,0
Peugeot,2008,2016.0,1.6 Feline,marrón,Nafta,Manual,1.6,112000,11961.72,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Allure,gris,Nafta,Manual,1.6,113600,14066.99,U$S,tienda,1,0
Peugeot,2008,2018.0,1.6 Feline Tip,negro,Nafta,Automática,1.6,89000,14990.0,U$S,particular,1,0
Peugeot,2008,2018.0,1.6 Feline Tip,gris,Nafta,Automática,1.6,61000,15263.16,U$S,concesionaria,1,0
Peugeot,2008,2021.0,1.6 In Concert,blanco,Nafta,Manual,1.6,36917,18181.82,U$S,tienda,1,0
Peugeot,2008,2019.0,1.6 Allure,blanco,Nafta,Manual,1.6,130000,14210.53,U$S,tienda,1,0
Peugeot,2008,2019.0,1.6 Feline Tip,marrón,Nafta,Automática,1.6,98000,16100.0,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Allure,plata,Nafta,Manual,1.6,113565,12517.7,U$S,tienda,1,0
Peugeot,2008,2021.0,1.6 Allure,plata,Nafta,Manual,1.6,45000,7177.03,U$S,concesionaria,1,0
