Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso
Peugeot,2008,2022.0,1.6 Feline Tip am20,Blanco,Nafta,5.0,Automática,1.6,SUV,23000 km,Peugeot 2008 1.6 Feline Tip am20,20454.54,U$S,tienda,
Peugeot,2008,2021.0,1.6 Allure,Marrón,Nafta,5.0,Manual,1.6,SUV,17000 km,Peugeot 2008 1.6 Allure,20000.0,U$S,tienda,
Peugeot,2008,2021.0,1.6 Allure,Marrón,Nafta,5.0,Manual,1.6,SUV,17500 km,Peugeot 2008 1.6 Allure,18636.36,U$S,tienda,
Peugeot,2008,2018.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,SUV,123600 km,Peugeot 2008 1.6 Feline,13636.36,U$S,tienda,
Peugeot,2008,2016.0,1.6 Thp Sport,Gris,Nafta,5.0,Manual,1.6,SUV,43000 km,Peugeot 2008 1.6 Thp Sport,11363.64,U$S,tienda,
Peugeot,2008,2022.0,1.6 Feline Tip am20,Blanco,Nafta,5.0,Automática,1.6,SUV,14000 km,Peugeot 2008 1.6 Feline Tip am20,20636.36,U$S,concesionaria,
Peugeot,2008,2022.0,1.6 Feline,Plateado,Nafta,5.0,Manual,1.6,SUV,50208 km,Peugeot 2008 1.6 Feline,19090.91,U$S,tienda,
Peugeot,2008,2021.0,1.6 Feline,Rojo,Nafta,5.0,Manual,1.6,SUV,44000 km,Peugeot 2008 1.6 Feline,18950.0,U$S,concesionaria,Sí
Peugeot,2008,2018.0,1.6 Thp Sport,Marrón,Nafta,5.0,Manual,1.6,SUV,84000 km,Peugeot 2008 1.6 Thp Sport,13172.64,U$S,concesionaria,
Peugeot,2008,2022.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,SUV,50208 km,Peugeot 2008 1.6 Feline,19090.91,U$S,tienda,
Peugeot,2008,2021.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,34300 km,Peugeot 2008 1.6 Thp Sport Tip,18909.09,U$S,tienda,
Peugeot,2008,2022.0,1.6 Feline Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,42000 km,Peugeot 2008 1.6 Feline Tip,18090.91,U$S,tienda,
