Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Kilómetros,Título,Precio,Moneda,Tipo de vendedor
Peugeot,2008,2022.0,1.6 Feline Tip am20,Blanco,Nafta,5.0,Automática,1.6,23000 km,Peugeot 2008 1.6 Feline Tip am20,21531.1,U$S,tienda
Peugeot,2008,2021.0,1.6 Allure,Marrón,Nafta,5.0,Manual,1.6,17000 km,Peugeot 2008 1.6 Allure,21052.63,U$S,tienda
Peugeot,2008,2021.0,1.6 Allure,Marrón,Nafta,5.0,Manual,1.6,17500 km,Peugeot 2008 1.6 Allure,19617.22,U$S,tienda
Peugeot,2008,2018.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,123600 km,Peugeot 2008 1.6 Feline,14354.07,U$S,tienda
Peugeot,2008,2016.0,1.6 Thp Sport,Gris,Nafta,5.0,Manual,1.6,43000 km,Peugeot 2008 1.6 Thp Sport,11961.72,U$S,tienda
Peugeot,2008,2022.0,1.6 Feline Tip am20,Blanco,Nafta,5.0,Automática,1.6,14000 km,Peugeot 2008 1.6 Feline Tip am20,21722.49,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Feline,Plateado,Nafta,5.0,Manual,1.6,50208 km,Peugeot 2008 1.6 Feline,20095.69,U$S,tienda
Peugeot,2008,2021.0,1.6 Feline,Rojo,Nafta,5.0,Manual,1.6,44000 km,Peugeot 2008 1.6 Feline,18950.0,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Thp Sport,Marrón,Nafta,5.0,Manual,1.6,84000 km,Peugeot 2008 1.6 Thp Sport,13865.93,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,50208 km,Peugeot 2008 1.6 Feline,20095.69,U$S,tienda
Peugeot,2008,2021.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,34300 km,Peugeot 2008 1.6 Thp Sport Tip,19904.31,U$S,tienda
Peugeot,2008,2022.0,1.6 Feline Tip,Blanco,Nafta,5.0,Automática,1.6,42000 km,Peugeot 2008 1.6 Feline Tip,19043.06,U$S,tienda
Peugeot,2008,2021.0,1.6 Allure am20,Blanco,Nafta,5.0,Manual,1.6,23000 km,Peugeot 2008 1.6 Allure am20,19617.22,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,132000 km,Peugeot 2008 1.6 Allure,13301.44,U$S,tienda
Peugeot,2008,2017.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,35224 km,Peugeot 2008 1.6 Allure,14354.07,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,39000 km,Peugeot 2008 1.6 Thp Sport Tip,18650.72,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,57000 km,Peugeot 2008 1.6 Feline,15119.62,U$S,particular
Peugeot,2008,2017.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,100000 km,Peugeot 2008 1.6 Thp Sport,13400.0,U$S,particular
Peugeot,2008,2018.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,34000 km,Peugeot 2008 1.6 Thp Sport,15900.0,U$S,concesionaria
