Marca,Modelo,Año,Versión,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Título,Precio,Moneda,Tipo de vendedor
Peugeot,2008,2022.0,1.6 Feline Tip am20,Blanco,Nafta,Automática,1.6,23000,Peugeot 2008 1.6 Feline Tip am20,21531.1,U$S,tienda
Peugeot,2008,2021.0,1.6 Allure,Marrón,Nafta,Manual,1.6,17000,Peugeot 2008 1.6 Allure,21052.63,U$S,tienda
Peugeot,2008,2021.0,1.6 Allure,Marrón,Nafta,Manual,1.6,17500,Peugeot 2008 1.6 Allure,19617.22,U$S,tienda
Peugeot,2008,2018.0,1.6 Feline,Blanco,Nafta,Manual,1.6,123600,Peugeot 2008 1.6 Feline,14354.07,U$S,tienda
Peugeot,2008,2016.0,1.6 Thp Sport,Gris,Nafta,Manual,1.6,43000,Peugeot 2008 1.6 Thp Sport,11961.72,U$S,tienda
Peugeot,2008,2022.0,1.6 Feline Tip am20,Blanco,Nafta,Automática,1.6,14000,Peugeot 2008 1.6 Feline Tip am20,21722.49,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Feline,Plateado,Nafta,Manual,1.6,50208,Peugeot 2008 1.6 Feline,20095.69,U$S,tienda
Peugeot,2008,2021.0,1.6 Feline,Rojo,Nafta,Manual,1.6,44000,Peugeot 2008 1.6 Feline,18950.0,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Thp Sport,Marrón,Nafta,Manual,1.6,84000,Peugeot 2008 1.6 Thp Sport,13865.93,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Feline,Gris,Nafta,Manual,1.6,50208,Peugeot 2008 1.6 Feline,20095.69,U$S,tienda
Peugeot,2008,2021.0,1.6 Thp Sport Tip,Blanco,Nafta,Automática,1.6,34300,Peugeot 2008 1.6 Thp Sport Tip,19904.31,U$S,tienda
Peugeot,2008,2022.0,1.6 Feline Tip,Blanco,Nafta,Automática,1.6,42000,Peugeot 2008 1.6 Feline Tip,19043.06,U$S,tienda
Peugeot,2008,2021.0,1.6 Allure am20,Blanco,Nafta,Manual,1.6,23000,Peugeot 2008 1.6 Allure am20,19617.22,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Allure,Blanco,Nafta,Manual,1.6,132000,Peugeot 2008 1.6 Allure,13301.44,U$S,tienda
