Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso,Edad,Km promedio por año
Peugeot,2008,2022.0,1.6 Feline Tip am20,Blanco,Nafta,5.0,Automática,1.6,SUV,23000,Peugeot 2008 1.6 Feline Tip am20,23684.21,U$S,tienda,,2.0,11500.0
Peugeot,2008,2021.0,1.6 Allure,Marrón,Nafta,5.0,Manual,1.6,SUV,17000,Peugeot 2008 1.6 Allure,23157.89,U$S,tienda,,3.0,5666.0
Peugeot,2008,2021.0,1.6 Allure,Marrón,Nafta,5.0,Manual,1.6,SUV,17500,Peugeot 2008 1.6 Allure,21578.95,U$S,tienda,,3.0,5833.0
Peugeot,2008,2018.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,SUV,123600,Peugeot 2008 1.6 Feline,15789.47,U$S,tienda,,6.0,20600.0
Peugeot,2008,2016.0,1.6 Thp Sport,Gris,Nafta,5.0,Manual,1.6,SUV,43000,Peugeot 2008 1.6 Thp Sport,13157.89,U$S,tienda,,8.0,5375.0
Peugeot,2008,2022.0,1.6 Feline Tip am20,Blanco,Nafta,5.0,Automática,1.6,SUV,14000,Peugeot 2008 1.6 Feline Tip am20,23894.74,U$S,concesionaria,,2.0,7000.0
Peugeot,2008,2022.0,1.6 Feline,Plateado,Nafta,5.0,Manual,1.6,SUV,50208,Peugeot 2008 1.6 Feline,22105.26,U$S,tienda,,2.0,25104.0
Peugeot,2008,2021.0,1.6 Feline,Rojo,Nafta,5.0,Manual,1.6,SUV,44000,Peugeot 2008 1.6 Feline,18950.0,U$S,concesionaria,Sí,3.0,14666.0
Peugeot,2008,2018.0,1.6 Thp Sport,Marrón,Nafta,5.0,Manual,1.6,SUV,84000,Peugeot 2008 1.6 Thp Sport,15252.53,U$S,concesionaria,,6.0,14000.0
Peugeot,2008,2022.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,SUV,50208,Peugeot 2008 1.6 Feline,22105.26,U$S,tienda,,2.0,25104.0
Peugeot,2008,2021.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,34300,Peugeot 2008 1.6 Thp Sport Tip,21894.74,U$S,tienda,,3.0,11433.0
Peugeot,2008,2022.0,1.6 Feline Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,42000,Peugeot 2008 1.6 Feline Tip,20947.37,U$S,tienda,,2.0,21000.0
Peugeot,2008,2021.0,1.6 Allure am20,Blanco,Nafta,5.0,Manual,1.6,SUV,23000,Peugeot 2008 1.6 Allure am20,21578.95,U$S,concesionaria,,3.0,7666.0
Peugeot,2008,2019.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,132000,Peugeot 2008 1.6 Allure,14631.58,U$S,tienda,,5.0,26400.0
Peugeot,2008,2017.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,35224,Peugeot 2008 1.6 Allure,15789.47,U$S,concesionaria,,7.0,5032.0
Peugeot,2008,2021.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,39000,Peugeot 2008 1.6 Thp Sport Tip,20515.79,U$S,concesionaria,,3.0,13000.0
Peugeot,2008,2017.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,SUV,57000,Peugeot 2008 1.6 Feline,16631.58,U$S,particular,Sí,7.0,8142.0
Peugeot,2008,2017.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,100000,Peugeot 2008 1.6 Thp Sport,13400.0,U$S,particular,Sí,7.0,14285.0
Peugeot,2008,2018.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,34000,Peugeot 2008 1.6 Thp Sport,15900.0,U$S,concesionaria,,6.0,5666.0
Peugeot,2008,2021.0,1.6 Thp Sport Tip,Plateado,Nafta,5.0,Automática,1.6,SUV,54300,Peugeot 2008 1.6 Thp Sport Tip,18800.0,U$S,concesionaria,,3.0,18100.0
Peugeot,2008,2017.0,1.6 Allure Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,114653,Peugeot 2008 1.6 Allure Tip,13157.89,U$S,concesionaria,,7.0,16379.0
Peugeot,2008,2017.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,SUV,164000,Peugeot 2008 1.6 Feline,12500.0,U$S,particular,,7.0,23428.0
Peugeot,2008,2024.0,1.6 In Concert Tiptronic,,Nafta,5.0,Automática,1.6,SUV,0,Peugeot 2008 1.6 In Concert Tiptronic,17894.74,U$S,particular,Sí,0.0,11111.0
Peugeot,2008,2018.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,113000,Peugeot 2008 1.6 Allure,15157.89,U$S,tienda,,6.0,18833.0
Peugeot,2008,2018.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,119000,Peugeot 2008 1.6 Allure,13684.21,U$S,concesionaria,,6.0,19833.0
Peugeot,2008,2022.0,1.6 Feline,Negro,Nafta,5.0,Manual,1.6,SUV,14000,Peugeot 2008 1.6 Feline,23000.0,U$S,tienda,,2.0,7000.0
Peugeot,2008,2018.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,81000,Peugeot 2008 1.6 Allure,16831.58,U$S,concesionaria,,6.0,13500.0
Peugeot,2008,2016.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,SUV,114000,Peugeot 2008 1.6 Feline,12631.58,U$S,concesionaria,,8.0,14250.0
Peugeot,2008,2019.0,1.6 Feline,Marrón,Nafta,5.0,Manual,1.6,SUV,40000,Peugeot 2008 1.6 Feline,18421.05,U$S,concesionaria,,5.0,8000.0
Peugeot,2008,2018.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,30560,Peugeot 2008 1.6 Thp Sport,17157.89,U$S,tienda,,6.0,5093.0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,60000,Peugeot 2008 1.6 Thp Sport Tip,20000.0,U$S,tienda,,2.0,30000.0
Peugeot,2008,2022.0,1.6 Feline am20,Blanco,Nafta,5.0,Manual,1.6,SUV,44000,Peugeot 2008 1.6 Feline am20,22500.0,U$S,particular,,2.0,22000.0
Peugeot,2008,2016.0,1.6 Feline,Marrón,Nafta,5.0,Manual,1.6,SUV,112000,Peugeot 2008 1.6 Feline,13157.89,U$S,concesionaria,,8.0,14000.0
Peugeot,2008,2018.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,113600,Peugeot 2008 1.6 Allure,15473.68,U$S,tienda,,6.0,18933.0
Peugeot,2008,2018.0,1.6 Feline Tip,Negro,Nafta,5.0,Automática,1.6,SUV,89000,Peugeot 2008 1.6 Feline Tip,14990.0,U$S,particular,,6.0,14833.0
Peugeot,2008,2018.0,1.6 Feline Tip,Gris,Nafta,5.0,Automática,1.6,SUV,61000,Peugeot 2008 1.6 Feline Tip,16789.47,U$S,concesionaria,,6.0,10166.0
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,78000,Peugeot 2008 1.6 Thp Sport,12900.0,U$S,concesionaria,,8.0,9750.0
Peugeot,2008,2021.0,1.6 In Concert,Blanco,Nafta,5.0,Manual,1.6,SUV,36917,Peugeot 2008 1.6 In Concert,20000.0,U$S,tienda,,3.0,12305.0
Peugeot,2008,2019.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,130000,Peugeot 2008 1.6 Allure,15631.58,U$S,tienda,,5.0,26000.0
Peugeot,2008,2019.0,1.6 Feline Tip,Marrón,Nafta,5.0,Automática,1.6,SUV,98000,Peugeot 2008 1.6 Feline Tip,16100.0,U$S,concesionaria,,5.0,19600.0
Peugeot,2008,2018.0,1.6 Allure,Plateado,Nafta,5.0,Manual,1.6,SUV,113565,Peugeot 2008 1.6 Allure,13769.47,U$S,tienda,,6.0,18927.0
Peugeot,2008,2021.0,1.6 Allure,Plateado,Nafta,5.0,Manual,1.6,SUV,45000,Peugeot 2008 1.6 Allure,7894.74,U$S,concesionaria,,3.0,15000.0
Peugeot,2008,2020.0,1.6 Feline am20,Gris,Nafta,5.0,Manual,1.6,SUV,27700,Peugeot 2008 1.6 Feline am20,19473.68,U$S,concesionaria,,4.0,6925.0
Peugeot,2008,2021.0,1.6 Feline,Rojo,Nafta,5.0,Manual,1.6,SUV,42000,Peugeot 2008 1.6 Feline,21052.63,U$S,concesionaria,,3.0,14000.0
Peugeot,2008,2022.0,1.6 Feline,Plateado,Nafta,5.0,Manual,1.6,SUV,50208,Peugeot 2008 1.6 Feline,22105.26,U$S,tienda,,2.0,25104.0
Peugeot,2008,2020.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,78000,Peugeot 2008 1.6 Allure,18842.11,U$S,tienda,,4.0,19500.0
Peugeot,2008,2021.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,49000,Peugeot 2008 1.6 Allure,20000.0,U$S,concesionaria,,3.0,16333.0
Peugeot,2008,2021.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,23800,Peugeot 2008 1.6 Allure,20947.37,U$S,concesionaria,,3.0,7933.0
Peugeot,2008,2017.0,1.6 Allure Tip,Gris,Nafta,5.0,Automática,1.6,SUV,62000,Peugeot 2008 1.6 Allure Tip,13473.68,U$S,tienda,,7.0,8857.0
Peugeot,2008,2018.0,1.6 FELINE TIPTRONIC AT,Blanco,Nafta,5.0,Automática,1.6,SUV,130000,Peugeot 2008 1.6 FELINE TIPTRONIC AT,14736.84,U$S,concesionaria,Sí,6.0,21666.0
Peugeot,2008,2022.0,1.6 Feline Tip,Negro,Nafta,5.0,Automática,1.6,SUV,25900,Peugeot 2008 1.6 Feline Tip,24947.37,U$S,concesionaria,,2.0,12950.0
Peugeot,2008,2021.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,99200,Peugeot 2008 1.6 Allure,14736.84,U$S,tienda,,3.0,33066.0
Peugeot,2008,2020.0,CONCERT 1.6 THP TIPTRONIC AM20,Gris,Nafta,4.0,Automática,1.6,SUV,31908,Peugeot 2008 CONCERT 1.6 THP TIPTRONIC AM20,21684.21,U$S,concesionaria,,4.0,7977.0
Peugeot,2008,2019.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,105000,Peugeot 2008 1.6 Thp Sport,15499.0,U$S,particular,Sí,5.0,21000.0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,71000,Peugeot 2008 1.6 Thp Sport Tip,20526.32,U$S,tienda,,2.0,35500.0
Peugeot,2008,2019.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,SUV,80000,Peugeot 2008 1.6 Feline,18350.0,U$S,concesionaria,,5.0,16000.0
Peugeot,2008,2017.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,SUV,74000,Peugeot 2008 1.6 Feline,8315.79,U$S,concesionaria,,7.0,10571.0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,61230,Peugeot 2008 1.6 Thp Sport Tip,20000.0,U$S,tienda,,2.0,30615.0
Peugeot,2008,2018.0,1.6 Allure,,Nafta,5.0,Manual,1.6,SUV,43000,Peugeot 2008 1.6 Allure,13800.0,U$S,particular,,6.0,7166.0
Peugeot,2008,2017.0,1.6 Allure,Plateado,Nafta,5.0,Manual,1.6,SUV,85014,Peugeot 2008 1.6 Allure,13200.0,U$S,particular,,7.0,12144.0
